Date,Close,High,Low,Open,Volume
2022-10-18,11579.6728515625,11854.289599030386,11511.01866469553,11716.981225296444,10540200
2022-10-19,11533.9033203125,11671.211693173362,11259.286574590771,11579.672777932788,9680200
2022-10-20,11259.287109375,11488.134408346035,11236.402379477897,11488.134408346035,12720200
2022-10-21,10481.2060546875,11373.710500392332,10481.2060546875,11373.710500392332,21413200
2022-10-24,9748.8935546875,10687.167347509536,9748.8935546875,10549.85898758436,77401200
2022-10-25,9748.8935546875,10275.242267734007,9153.890661678402,9748.8935546875,28126800
2022-10-26,9794.6640625,9977.741895443924,9634.470958674065,9931.972437207944,15080800
2022-10-27,10458.3212890625,10458.3212890625,9840.433598023796,9840.433598023796,18345600
2022-10-28,11167.748046875,11167.748046875,10755.822913998463,10801.592373206968,27929460
2022-10-31,11259.287109375,11350.826028963416,10755.82305163872,11259.287109375,14567400
2022-11-01,11739.8662109375,11900.05931712963,11442.36472800926,11442.36472800926,20478800
2022-11-02,11533.9033203125,11808.520066034223,11465.249133882067,11762.75060841394,17205600
2022-11-03,11831.4052734375,11831.4052734375,11282.171759776958,11282.171759776958,17896000
2022-11-04,11671.2119140625,11671.2119140625,11007.554766007966,11442.364621629902,34814400
2022-11-07,10870.24609375,11808.519967105263,10870.24609375,11648.326866776317,21850400
2022-11-08,11053.32421875,11396.595157220498,10526.975446428572,10870.246384899068,28977200
2022-11-09,11144.86328125,11488.134224204312,11076.209092659135,11213.51746984086,8270400
2022-11-10,10412.5517578125,11030.439444539836,10366.7822995364,10984.669986263736,28079400
2022-11-11,10435.435546875,10961.784269634049,10435.435546875,10755.821725945723,10959000
2022-11-14,10160.8203125,10252.359234234234,9748.895164695949,10160.8203125,13577000
2022-11-15,9474.2783203125,10092.16603685462,9451.3935900702,10092.16603685462,21886000
2022-11-16,10115.0498046875,10115.0498046875,8833.505033052885,8833.505033052885,48221200
2022-11-17,10504.08984375,10549.859298406864,10160.81893382353,10389.666207107844,13492600
2022-11-18,10389.6669921875,10687.168469937362,9977.74186914923,10458.321179360546,15249600
2022-11-21,10183.7041015625,10572.744482970504,10183.7041015625,10366.781928107444,17758800
2022-11-22,10000.6259765625,10549.859439806209,10000.6259765625,10092.164887103118,18897600
2022-11-23,10069.28125,10252.35909090909,9931.972869318182,10069.28125,8037600
2022-11-24,10137.9345703125,10160.81929846219,9840.433104366535,10069.28038586343,15683000
2022-11-25,10526.974609375,10526.974609375,10160.818970788045,10229.473153023098,11542400
2022-11-28,11259.287109375,11259.287109375,10641.399402153202,10664.284132050305,22463200
2022-11-29,11533.9033203125,11716.98115079365,11144.862930540054,11419.47967626178,16752800
2022-11-30,11854.2890625,11854.2890625,11419.4792320222,11533.902871621622,17721400
2022-12-01,12540.8310546875,12678.139423899407,12014.482306041857,12014.482306041857,37717000
2022-12-02,13181.603515625,13273.142428927951,12289.099110921225,12357.753295898438,38392400
2022-12-05,13273.142578125,13639.298235452585,13181.603663793105,13501.98986395474,16932200
2022-12-06,12380.6376953125,13273.142076305452,12357.752967594732,13181.60316543438,29901000
2022-12-07,12083.13671875,12426.407648259945,11877.174161044037,12357.753462357954,14228800
2022-12-08,12906.9873046875,12906.9873046875,12128.90650972407,12266.214885305852,29108600
2022-12-09,12929.8720703125,13044.295716952432,12678.140047704646,13021.410987624446,11210800
2022-12-12,12449.2919921875,13067.179646211513,12449.2919921875,12929.87127865062,73107200
2022-12-13,13181.603515625,13181.603515625,12357.753295898438,12449.292209201389,15355800
2022-12-14,13181.603515625,13593.52862548828,13181.603515625,13501.98971218533,25549200
2022-12-15,13501.990234375,13524.874963585806,13090.06510858051,13181.604025423729,15675600
2022-12-16,13341.796875,13410.451061320757,13090.064858490568,13273.142688679243,23914360
2022-12-19,13387.56640625,14028.338815438034,13296.027490651708,13341.796948450854,20054400
2022-12-20,12678.1396484375,13387.566235263426,12472.177090971907,13273.142592226986,41415200
2022-12-21,12678.1396484375,12906.98693451038,12037.36724743344,12838.332748688515,15065400
2022-12-22,12678.1396484375,12998.525848939533,12472.177090971907,12701.024377044789,15723800
2022-12-23,12632.3701171875,12769.678488026497,12334.868647036345,12678.139574133833,7229400
2022-12-26,11762.7509765625,12540.83178045963,11762.7509765625,12472.17759188047,15127200
2022-12-27,12037.3671875,12037.3671875,11625.442074619772,11716.980988593155,11276400
2022-12-28,11968.712890625,12106.02126030712,11785.63506438217,11945.828162344646,15148800
2022-12-29,11877.173828125,12037.366924072736,11785.634916154864,11945.8280121026,7159400
2022-12-30,11831.4052734375,11945.82892211678,11831.4052734375,11877.174732909212,11005800
