Date,Close,High,Low,Open,Volume
2023-07-17,18018.080078125,18062.134063646088,17665.648193956295,17709.702179477383,41658100
2023-07-19,18194.296875,18502.674788135595,18194.296875,18502.674788135595,28738200
2023-07-20,18502.671875,18502.671875,18062.13206845238,18150.240029761902,26693910
2023-07-21,18855.10546875,18899.159453490072,18326.45765186916,18458.61960608937,31964260
2023-07-24,19251.591796875,19295.645782680203,18766.997953017733,18943.21389623856,27024100
2023-07-26,19251.591796875,19295.645782680203,18987.267882043765,19207.537811069797,21822170
2023-07-28,19471.861328125,19471.861328125,19031.3214790724,19163.483433788177,22672710
2023-08-03,19119.4296875,19383.75360023041,19031.32171658986,19339.699614775345,16263800
2023-08-04,19559.970703125,19559.970703125,19031.322846283783,19207.53879856419,19866780
2023-08-07,19956.455078125,20264.832971164466,19648.07718508554,19780.23913924531,20240880
2023-08-08,19559.970703125,19956.456595755917,19559.970703125,19956.456595755917,21426420
2023-08-09,19427.80859375,19559.97055697279,19119.43067956349,19471.86258149093,22628050
2023-08-10,19339.69921875,19427.807187855924,18987.26734232631,19427.807187855924,22253620
2023-08-11,19383.75390625,19383.75390625,18987.268030894887,19339.699920099432,13282620
2023-08-14,19339.69921875,19383.753203302964,19207.53726509112,19295.64523419704,13827460
2023-08-15,19383.75390625,19383.75390625,19075.376003196023,19339.699920099432,22397540
2023-08-16,19736.185546875,19912.40148925781,19075.375762939453,19295.64569091797,42588010
2023-08-17,19515.916015625,19956.455880537527,19515.916015625,19824.29392106377,20365200
2023-08-18,18150.2421875,19427.80777836772,18150.2421875,19383.75379247573,35054920
2023-08-21,18326.458984375,18502.67493614784,17974.027080829328,18150.243032602164,16282720
2023-08-22,18150.2421875,18370.51211695995,17665.64834268811,18282.404145175973,24513410
2023-08-23,17841.86328125,18370.511082175926,17841.86328125,18282.40311535494,18701630
2023-08-24,18062.134765625,18062.134765625,17753.756854992378,17841.864829458842,12674530
2023-08-25,17797.810546875,18106.18845239016,17621.594600866338,18018.08047938583,17288010
2023-08-28,17885.91796875,17974.02593903941,17709.70202817118,17797.80999846059,16366490
2023-08-29,18370.513671875,18414.567661495803,17841.86579642536,17929.973775666967,20089540
2023-08-30,18326.458984375,18414.566960261414,18150.243032602164,18414.566960261414,9437604
2023-08-31,18458.62109375,18546.729070331145,18238.35115229713,18326.459128878283,14936100
2023-09-05,18502.671875,18766.99575892857,18458.61789434524,18678.88779761905,16945110
2023-09-06,19207.537109375,19207.537109375,18414.565393850346,18722.943283221044,46167300
2023-09-07,19163.484375,19471.86228448276,19119.43038793104,19295.646336206897,21835900
2023-09-08,19207.537109375,19295.64507776663,19119.42914098337,19163.483125179187,40790210
2023-09-11,19295.646484375,19648.07838363299,18943.21458511701,19471.862434003997,42997300
2023-09-12,19648.078125,19648.078125,19119.43028307175,19295.646230381164,21837600
2023-09-13,19780.240234375,19868.34820869293,19427.808337103284,19648.078272898107,31026700
2023-09-14,19736.185546875,19912.40148925781,19383.75366210937,19736.185546875,25975740
2023-09-15,19868.349609375,19956.45758990438,19559.97167752217,19780.241628845622,25670400
2023-09-18,19515.916015625,19824.29392106377,19295.646083168736,19824.29392106377,17640000
2023-09-19,19295.646484375,19515.91642141124,19031.322559931505,19427.808446596748,38789110
2023-09-20,19295.646484375,19427.808446596748,18987.26857252426,19207.5385095605,14303830
2023-09-21,19075.376953125,19295.646894847,19075.376953125,19119.4309414694,11671440
2023-09-22,18722.9453125,18811.053290441178,18370.513400735294,18678.891323529413,19848040
2023-09-25,17974.025390625,18766.99709903493,17974.025390625,18678.889131433825,14809140
2023-09-26,18018.080078125,18238.35000573044,17841.864136040647,18150.242034688265,19574730
2023-09-27,18502.671875,18502.671875,17885.916145833333,18062.13206845238,12776000
2023-09-28,18678.890625,18855.10657429245,18106.18878979953,18282.40473909198,13533800
2023-09-29,19119.4296875,19119.4296875,18590.78186203917,18766.997803859445,10579620
2023-10-02,19207.537109375,19207.537109375,18855.105235808485,19031.321172591743,11272930
2023-10-03,18502.671875,19031.319642857143,18238.347991071427,18943.21168154762,13701900
2023-10-04,18502.671875,18722.94177827381,18062.13206845238,18062.13206845238,6975100
2023-10-05,18326.458984375,18590.78291203425,18326.458984375,18414.566960261414,8948000
2023-10-06,18458.62109375,18546.729070331145,18238.35115229713,18458.62109375,13211000
2023-10-09,18855.10546875,18855.10546875,18282.40366712909,18502.67359082944,13973900
2023-10-10,19031.322265625,19031.322265625,18766.998345269098,18811.05233199508,11693200
