Date,Close,Type
2020-11-26,23419.359375,History
2020-11-27,23419.359375,History
2020-11-30,23041.072265625,History
2020-12-01,23316.19140625,History
2020-12-02,23213.021484375,History
2020-12-03,23247.412109375,History
2020-12-04,23866.42578125,History
2020-12-07,23866.42578125,History
2020-12-08,23728.8671875,History
2020-12-09,23728.8671875,History
2020-12-10,23384.970703125,History
2020-12-11,23900.81640625,History
2020-12-14,24347.880859375,History
2020-12-15,24072.763671875,History
2020-12-16,24347.880859375,History
2020-12-17,23453.75,History
2020-12-18,23797.646484375,History
2020-12-21,23969.59375,History
2020-12-22,23935.205078125,History
2020-12-23,23728.8671875,History
2020-12-24,23350.58203125,History
2020-12-25,23866.42578125,History
2020-12-28,23591.30859375,History
2020-12-29,23488.138671875,History
2020-12-30,23625.69921875,History
2020-12-31,23763.255859375,History
2021-01-04,24416.66015625,History
2021-01-05,24347.880859375,History
2021-01-06,26032.974609375,History
2021-01-07,26720.767578125,History
2021-01-08,26617.59765625,History
2021-01-11,26617.59765625,History
2021-01-12,26480.041015625,History
2021-01-13,26583.208984375,History
2021-01-14,26927.10546875,History
2021-01-15,27167.83203125,History
2021-01-18,26548.8203125,History
2021-01-19,24691.77734375,History
2021-01-20,24519.830078125,History
2021-01-21,25448.349609375,History
2021-01-22,25861.025390625,History
2021-01-25,25310.79296875,History
2021-01-26,23728.8671875,History
2021-01-27,22422.060546875,History
2021-01-28,20874.5234375,History
2021-01-29,20977.6953125,History
2021-02-01,22009.3828125,History
2021-02-02,23316.19140625,History
2021-02-03,24003.984375,History
2021-02-04,23866.42578125,History
2021-02-05,24622.998046875,History
2021-02-08,23419.359375,History
2021-02-09,24347.880859375,History
2021-02-17,25310.79296875,History
2021-02-18,25310.79296875,History
2021-02-19,25448.349609375,History
2021-02-22,25448.349609375,History
2021-02-23,25482.73828125,History
2021-02-24,25792.248046875,History
2021-02-25,25654.6875,History
2021-02-26,25620.298828125,History
2021-03-01,26204.921875,History
2021-03-02,26136.142578125,History
2021-03-03,26548.8203125,History
2021-03-04,26342.48046875,History
2021-03-05,26136.142578125,History
2021-03-08,26067.365234375,History
2021-03-09,25585.908203125,History
2021-03-10,25826.63671875,History
2021-03-11,26273.703125,History
2021-03-12,26101.75390625,History
2021-03-15,26136.142578125,History
2021-03-16,25929.8046875,History
2021-03-17,27202.224609375,History
2021-03-18,27855.626953125,History
2021-03-19,27821.236328125,History
2021-03-22,28268.302734375,History
2021-03-23,27855.626953125,History
2021-03-24,26823.9375,History
2021-03-25,27099.052734375,History
2021-03-26,26858.326171875,History
2021-03-29,27511.73046875,History
2021-03-30,27786.84765625,History
2021-03-31,27614.8984375,History
2021-04-01,28233.9140625,History
2021-04-02,28405.861328125,History
2021-04-05,28887.31640625,History
2021-04-06,29575.109375,History
2021-04-07,29575.109375,History
2021-04-08,29299.9921875,History
2021-04-09,29231.212890625,History
2021-04-12,29712.66796875,History
2021-04-13,28921.70703125,History
2021-04-14,29403.162109375,History
2021-04-15,29024.875,History
2021-04-16,28887.31640625,History
2021-04-19,29231.212890625,History
2021-04-20,28887.31640625,History
2021-04-22,26927.10546875,History
2021-04-23,28405.861328125,History
2021-04-26,27305.392578125,History
2021-04-27,27271.001953125,History
2021-04-28,27339.78125,History
2021-04-29,28061.96484375,History
2021-05-04,29575.109375,History
2021-05-05,29815.8359375,History
2021-05-06,29506.330078125,History
2021-05-07,30125.345703125,History
2021-05-10,30813.138671875,History
2021-05-11,30400.462890625,History
2021-05-12,30950.6953125,History
2021-05-13,31982.384765625,History
2021-05-14,32326.283203125,History
2021-05-17,32154.333984375,History
2021-05-18,32016.77734375,History
2021-05-19,33014.07421875,History
2021-05-20,33633.08984375,History
2021-05-21,33186.02734375,History
2021-05-24,35215.015625,History
2021-05-25,35146.234375,History
2021-05-26,35421.3515625,History
2021-05-27,34527.21875,History
2021-05-28,35215.015625,History
2021-05-31,36521.82421875,History
2021-06-01,36177.92578125,History
2021-06-02,35765.25,History
2021-06-03,36865.71875,History
2021-06-04,37140.8359375,History
2021-06-07,35765.25,History
2021-06-08,33701.87109375,History
2021-06-09,34733.55859375,History
2021-06-10,34045.765625,History
2021-06-11,36384.26171875,History
2021-06-14,36109.1484375,History
2021-06-15,35834.02734375,History
2021-06-16,34733.55859375,History
2021-06-17,34733.55859375,History
2021-06-18,35215.015625,History
2021-06-21,34596.00390625,History
2021-06-22,35696.46875,History
2021-06-23,36246.703125,History
2021-06-24,36728.16015625,History
2021-06-25,37003.27734375,History
2021-06-28,37415.94921875,History
2021-06-29,37072.05859375,History
2021-06-30,36246.703125,History
2021-07-01,36040.3671875,History
2021-07-02,36246.703125,History
2021-07-05,35834.02734375,History
2021-07-06,33357.97265625,History
2021-07-07,34665.91015625,History
