Date,Close,Type
2020-12-21,16511.970703125,History
2020-12-22,16488.28125,History
2020-12-23,16346.142578125,History
2020-12-24,16085.55078125,History
2020-12-25,16440.900390625,History
2020-12-28,16251.3818359375,History
2020-12-29,16180.3115234375,History
2020-12-30,16275.072265625,History
2020-12-31,16369.8330078125,History
2021-01-04,16819.94140625,History
2021-01-05,16772.5625,History
2021-01-06,17933.375,History
2021-01-07,18407.177734375,History
2021-01-08,18336.107421875,History
2021-01-11,18336.107421875,History
2021-01-12,18241.345703125,History
2021-01-13,18312.416015625,History
2021-01-14,18549.318359375,History
2021-01-15,18715.146484375,History
2021-01-18,18288.7265625,History
2021-01-19,17009.462890625,History
2021-01-20,16891.01171875,History
2021-01-21,17530.64453125,History
2021-01-22,17814.92578125,History
2021-01-25,17435.884765625,History
2021-01-26,16346.142578125,History
2021-01-27,15445.9189453125,History
2021-01-28,14379.8662109375,History
2021-01-29,14450.9365234375,History
2021-02-01,15161.638671875,History
2021-02-02,16061.8603515625,History
2021-02-03,16535.662109375,History
2021-02-04,16440.900390625,History
2021-02-05,16962.08203125,History
2021-02-08,16132.9306640625,History
2021-02-09,16772.5625,History
2021-02-17,17435.884765625,History
2021-02-18,17435.884765625,History
2021-02-19,17530.64453125,History
2021-02-22,17530.64453125,History
2021-02-23,17554.3359375,History
2021-02-24,17767.544921875,History
2021-02-25,17672.78515625,History
2021-02-26,17649.095703125,History
2021-03-01,18051.826171875,History
2021-03-02,18004.4453125,History
2021-03-03,18288.7265625,History
2021-03-04,18146.5859375,History
2021-03-05,18004.4453125,History
2021-03-08,17957.06640625,History
2021-03-09,17625.40625,History
2021-03-10,17791.234375,History
2021-03-11,18099.20703125,History
2021-03-12,17980.755859375,History
2021-03-15,18004.4453125,History
2021-03-16,17862.3046875,History
2021-03-17,18738.837890625,History
2021-03-18,19188.94921875,History
2021-03-19,19165.2578125,History
2021-03-22,19473.228515625,History
2021-03-23,19188.94921875,History
2021-03-24,18478.248046875,History
2021-03-25,18667.767578125,History
2021-03-26,18501.9375,History
2021-03-29,18952.048828125,History
2021-03-30,19141.568359375,History
2021-03-31,19023.1171875,History
2021-04-01,19449.5390625,History
2021-04-02,19567.990234375,History
