Date,Close,Type
2020-12-22,6712.28076171875,History
2020-12-23,6556.18115234375,History
2020-12-24,6400.08154296875,History
2020-12-25,6452.11474609375,History
2020-12-28,6452.11474609375,History
2020-12-29,6426.09814453125,History
2020-12-30,6426.09814453125,History
2020-12-31,6452.11474609375,History
2021-01-04,6582.19775390625,History
2021-01-05,7024.4794921875,History
2021-01-06,7284.6455078125,History
2021-01-07,7232.6123046875,History
2021-01-08,7310.66259765625,History
2021-01-11,7232.6123046875,History
2021-01-12,7128.5458984375,History
2021-01-13,7232.6123046875,History
2021-01-14,7492.7783203125,History
2021-01-15,7778.9609375,History
2021-01-18,7674.89453125,History
2021-01-19,7180.57958984375,History
2021-01-20,7180.57958984375,History
2021-01-21,7388.7119140625,History
2021-01-22,7466.76171875,History
2021-01-25,7440.7451171875,History
2021-01-26,7206.59619140625,History
2021-01-27,7024.4794921875,History
2021-01-28,6556.18115234375,History
2021-01-29,6582.19775390625,History
2021-02-01,6243.98193359375,History
2021-02-02,6452.11474609375,History
2021-02-03,6894.396484375,History
2021-02-04,6946.43017578125,History
2021-02-05,7284.6455078125,History
2021-02-08,7362.6953125,History
2021-02-09,7648.87744140625,History
2021-02-17,7726.927734375,History
2021-02-18,7622.861328125,History
2021-02-19,7648.87744140625,History
2021-02-22,7648.87744140625,History
2021-02-23,7596.8447265625,History
2021-02-24,7440.7451171875,History
2021-02-25,7596.8447265625,History
2021-02-26,7648.87744140625,History
2021-03-01,8169.2099609375,History
2021-03-02,8377.3427734375,History
2021-03-03,8299.2919921875,History
2021-03-04,8065.14306640625,History
2021-03-05,8195.2265625,History
2021-03-08,8169.2099609375,History
2021-03-09,8169.2099609375,History
2021-03-10,8299.2919921875,History
2021-03-11,8351.326171875,History
2021-03-12,8585.474609375,History
2021-03-15,8507.42578125,History
2021-03-16,8403.359375,History
2021-03-17,8455.392578125,History
2021-03-18,8481.4091796875,History
2021-03-19,8481.4091796875,History
2021-03-22,8481.4091796875,History
2021-03-23,8455.392578125,History
2021-03-24,8325.30859375,History
2021-03-25,8299.2919921875,History
2021-03-26,8195.2265625,History
2021-03-29,8533.44140625,History
2021-03-30,9001.740234375,History
2021-03-31,9027.7568359375,History
2021-04-01,9053.7734375,History
2021-04-02,9157.8408203125,History
2021-04-05,9183.857421875,History
2021-04-06,9079.7900390625,History
2021-04-07,9079.7900390625,History
2021-04-08,9105.8076171875,History
2021-04-09,9444.0224609375,History
2021-04-12,9808.2548828125,History
2021-04-13,9574.10546875,History
2021-04-14,9600.123046875,History
2021-04-15,9652.15625,History
2021-04-16,9860.2890625,History
2021-04-19,10094.4375,History
2021-04-20,10328.5869140625,History
2021-04-22,9782.23828125,History
2021-04-23,10458.669921875,History
2021-04-26,10770.869140625,History
2021-04-27,10692.8193359375,History
2021-04-28,10640.7861328125,History
2021-04-29,11187.134765625,History
2021-05-04,11187.134765625,History
2021-05-05,11083.0673828125,History
2021-05-06,10822.9013671875,History
2021-05-07,11239.16796875,History
2021-05-10,11343.234375,History
2021-05-11,11265.18359375,History
2021-05-12,11551.3662109375,History
2021-05-13,11915.599609375,History
2021-05-14,12149.7490234375,History
2021-05-17,11863.56640625,History
2021-05-18,11967.6318359375,History
2021-05-19,12253.814453125,History
2021-05-20,12227.7978515625,History
2021-05-21,12227.7978515625,History
2021-05-24,12175.7646484375,History
2021-05-25,12435.9306640625,History
2021-05-26,13216.4287109375,History
2021-05-27,13632.6943359375,History
2021-05-28,14569.291015625,History
2021-05-31,15583.9384765625,History
2021-06-01,15401.822265625,History
2021-06-02,16468.50390625,History
2021-06-03,17613.232421875,History
2021-06-04,17379.083984375,History
2021-06-07,16338.419921875,History
2021-06-08,15219.7060546875,History
2021-06-09,16260.369140625,History
2021-06-10,16234.3525390625,History
2021-06-11,16260.369140625,History
2021-06-14,15974.1875,History
2021-06-15,15089.6240234375,History
2021-06-16,14569.291015625,History
2021-06-17,15349.7890625,History
2021-06-18,15401.822265625,History
2021-06-21,14985.556640625,History
2021-06-22,15297.7548828125,History
2021-06-23,14985.556640625,History
2021-06-24,15323.7724609375,History
2021-06-25,15349.7890625,History
2021-06-28,15688.00390625,History
2021-06-29,15870.12109375,History
2021-06-30,15583.9384765625,History
2021-07-01,15557.921875,History
2021-07-02,15505.888671875,History
2021-07-05,15661.9892578125,History
2021-07-06,14569.291015625,History
2021-07-07,15583.9384765625,History
2021-07-08,15557.921875,History
2021-07-09,15037.58984375,History
2021-07-12,14569.291015625,History
2021-07-13,14309.125,History
2021-07-14,14100.9931640625,History
2021-07-15,14413.1923828125,History
2021-07-16,14283.1083984375,History
2021-07-19,13294.4775390625,History
2021-07-20,13320.494140625,History
2021-07-21,13636.8564453125,History
2021-07-22,13695.1337890625,History
2021-07-23,13753.41015625,History
2021-07-26,13345.470703125,History
2021-07-27,13665.9951171875,History
