Date,Close,Type
2020-12-22,43140.2265625,History
2020-12-23,42963.9609375,History
2020-12-24,42875.83203125,History
2020-12-25,43008.03125,History
2020-12-28,43184.2890625,History
2020-12-29,43713.078125,History
2020-12-30,43140.2265625,History
2020-12-31,43140.2265625,History
2021-01-04,43624.94921875,History
2021-01-05,43757.14453125,History
2021-01-06,46268.8828125,History
2021-01-07,47150.1953125,History
2021-01-08,46180.75,History
2021-01-11,46048.5546875,History
2021-01-12,46533.27734375,History
2021-01-13,46180.75,History
2021-01-14,45784.16015625,History
2021-01-15,45475.703125,History
2021-01-18,45519.765625,History
2021-01-19,43624.94921875,History
2021-01-20,43669.015625,History
2021-01-21,45387.5703125,History
2021-01-22,45387.5703125,History
2021-01-25,45167.2421875,History
2021-01-26,44462.19140625,History
2021-01-27,42919.89453125,History
2021-01-28,39923.4375,History
2021-01-29,40981.0078125,History
2021-02-01,40143.765625,History
2021-02-02,42523.3046875,History
2021-02-03,43580.87890625,History
2021-02-04,43580.87890625,History
2021-02-05,44065.6015625,History
2021-02-08,41465.734375,History
2021-02-09,42831.765625,History
2021-02-17,44065.6015625,History
2021-02-18,44946.91796875,History
2021-02-19,44638.45703125,History
2021-02-22,44329.99609375,History
2021-02-23,44065.6015625,History
2021-02-24,43228.35546875,History
2021-02-25,43272.421875,History
2021-02-26,43272.421875,History
2021-03-01,43713.078125,History
2021-03-02,43757.14453125,History
2021-03-03,43360.5546875,History
2021-03-04,42875.83203125,History
2021-03-05,42479.2421875,History
2021-03-08,41950.453125,History
2021-03-09,41862.32421875,History
2021-03-10,42082.65234375,History
2021-03-11,42435.17578125,History
2021-03-12,42214.84765625,History
2021-03-15,42435.17578125,History
2021-03-16,42170.78125,History
2021-03-17,42126.71484375,History
2021-03-18,42963.9609375,History
2021-03-19,41509.796875,History
2021-03-22,42743.63671875,History
2021-03-23,42214.84765625,History
2021-03-24,41730.12890625,History
2021-03-25,41906.38671875,History
2021-03-26,41818.2578125,History
2021-03-29,41994.5234375,History
2021-03-30,41774.19140625,History
2021-03-31,41774.19140625,History
2021-04-01,42699.5703125,History
2021-04-02,43096.16015625,History
2021-04-05,44946.91796875,History
2021-04-06,44902.84765625,History
2021-04-07,44902.84765625,History
2021-04-08,44065.6015625,History
2021-04-09,42963.9609375,History
2021-04-12,43580.87890625,History
2021-04-13,42963.9609375,History
2021-04-14,43492.75,History
2021-04-15,42963.9609375,History
2021-04-16,42435.17578125,History
2021-04-19,43404.62109375,History
2021-04-20,45387.5703125,History
2021-04-22,45387.5703125,History
2021-04-23,45828.2265625,History
2021-04-26,43448.68359375,History
2021-04-27,43624.94921875,History
2021-04-28,43624.94921875,History
2021-04-29,44065.6015625,History
2021-05-04,43669.015625,History
2021-05-05,44594.390625,History
2021-05-06,43757.14453125,History
2021-05-07,42743.63671875,History
2021-05-10,43228.35546875,History
2021-05-11,43140.2265625,History
2021-05-12,42875.83203125,History
2021-05-13,42655.50390625,History
2021-05-14,42699.5703125,History
2021-05-17,42302.9765625,History
2021-05-18,41686.0625,History
2021-05-19,41465.734375,History
2021-05-20,43624.94921875,History
2021-05-21,42655.50390625,History
2021-05-24,42919.89453125,History
2021-05-25,43977.47265625,History
2021-05-26,44241.86328125,History
2021-05-27,43492.75,History
2021-05-28,43889.33984375,History
2021-05-31,43448.68359375,History
2021-06-01,45696.03125,History
2021-06-02,46709.5390625,History
2021-06-03,47018.0,History
2021-06-04,46224.8203125,History
2021-06-07,45387.5703125,History
2021-06-08,44065.6015625,History
2021-06-09,44946.91796875,History
2021-06-10,44858.78125,History
2021-06-11,45299.44140625,History
2021-06-14,44946.91796875,History
2021-06-15,45299.44140625,History
2021-06-16,45828.2265625,History
2021-06-17,45916.359375,History
2021-06-18,47811.17578125,History
2021-06-21,46973.93359375,History
2021-06-22,47414.5859375,History
2021-06-23,48339.96484375,History
2021-06-24,48780.62109375,History
2021-06-25,49617.8671875,History
2021-06-28,49617.8671875,History
2021-06-29,50234.7890625,History
2021-06-30,51292.359375,History
2021-07-01,51292.359375,History
2021-07-02,50631.37890625,History
2021-07-05,50058.5234375,History
2021-07-06,49353.47265625,History
2021-07-07,49970.39453125,History
2021-07-08,48912.8203125,History
2021-07-09,48384.03125,History
2021-07-12,47194.26171875,History
2021-07-13,45563.8359375,History
2021-07-14,44858.78125,History
2021-07-15,45167.2421875,History
2021-07-16,45167.2421875,History
2021-07-19,42743.63671875,History
2021-07-20,44153.734375,History
2021-07-21,43624.94921875,History
2021-07-22,44197.796875,History
2021-07-23,42743.63671875,History
2021-07-26,42302.9765625,History
2021-07-27,41862.32421875,History
2021-07-28,42743.63671875,History
2021-07-29,43140.2265625,History
